"","name","r1","r2","r3","r4","r5","r6","rank"
"1","Bulbasaur",0.000735745571152919,0.994093965258333,8.29683102098175e-09,0.00516737769004304,2.92978534151221e-10,2.90289066170219e-06,2
"2","Ivysaur",9.91400219932917e-08,0.00106704119715554,0.983647206227186,0.0134644921480019,0.000837833892608056,0.000983327395026047,3
"3","Venusaur",1.51625297833477e-16,2.48567248174086e-16,7.75484082499903e-10,0.00726097802150561,0.931288108644704,0.0614509125583061,5
"4","VenusaurMega Venusaur",1.8753237614492e-26,1.04445535819037e-43,4.91853678774294e-15,0.0429437314074629,6.394737296132e-06,0.957049873855236,6
"5","Charmander",0.0412382465015629,0.954218214636777,5.35516189678325e-16,0.0045433396388299,2.72432402311307e-13,1.99222557098768e-07,2
"6","Charmeleon",3.71478398858386e-05,0.165968383857025,0.811875485227501,0.021459709174261,0.000170993093532497,0.000488280807794736,3
"7","Charizard",1.08239188983982e-14,7.31237373925841e-14,5.04169624382846e-07,0.00266951943754747,0.96112047083781,0.0362095055549346,5
"8","CharizardMega Charizard X",3.50761788779431e-19,1.15253120326642e-33,1.05769714379833e-08,0.00930544487743891,0.00146481626021195,0.989229728285378,6
"9","CharizardMega Charizard Y",3.89953437295447e-34,5.62149445125114e-41,7.13084178884892e-14,0.000423208881294826,0.0232421198157567,0.976334671302877,6
"10","Squirtle",0.00714815099039334,0.988027201681909,1.09621842778969e-09,0.00482092224226792,8.75253808567142e-09,3.71523667315342e-06,2
"11","Wartortle",2.64539532983955e-06,0.000178129534795417,0.97311537287093,0.0203775376870433,0.00467768974007137,0.00164862477183011,3
"12","Blastoise",2.90042651266943e-15,3.53875336053764e-19,4.85897258489605e-09,0.0725730777425431,0.452664604421676,0.474762312976806,6
"13","BlastoiseMega Blastoise",2.37731775098392e-27,1.6631922192199e-44,1.0868193127159e-13,0.0222261540528861,2.49030754830213e-05,0.977748942871522,6
"14","Caterpie",0.997895241341474,3.2521717035703e-08,1.17122545142161e-18,0.00210472612209893,5.00235433483509e-20,1.47098137245612e-11,1
"15","Metapod",0.998463474819671,3.30977396628501e-06,1.15953728435132e-13,0.00153321533982587,5.9644266711397e-16,6.64204039715023e-11,1
"16","Butterfree",1.98867837295009e-08,0.000206984600142234,0.961805187047543,0.0356191293562797,7.53816856026219e-06,0.00236114094069084,3
"17","Weedle",0.997855805094519,8.91145456900315e-09,2.39640654680093e-23,0.00214418598385585,7.02406601721656e-22,1.01710558610517e-11,1
"18","Kakuna",0.998727404804812,5.90036590054897e-06,3.80891134339357e-17,0.00126669478658502,3.87114299967179e-17,4.27020264996422e-11,1
"19","Beedrill",9.29268200676723e-06,0.00200853637616712,0.973581710140156,0.0195621859986605,1.53510107385658e-05,0.00482292379227128,3
"20","BeedrillMega Beedrill",4.35868710449264e-10,3.52091062312256e-15,0.0123405492080814,0.000368595760698605,3.17487443368518e-08,0.987290822846603,6
"21","Pidgey",0.994303130224149,0.00410225408788335,1.28329169032317e-18,0.00159461445577893,1.76425349215364e-16,1.23218870921815e-09,1
"22","Pidgeotto",0.0212040264034042,0.972745505878373,0.00414975310658822,0.00189856652083989,8.27239193043634e-07,1.3208516012055e-06,2
"23","Pidgeot",4.72547914266204e-07,4.04430853701065e-05,4.06050849497555e-10,0.0076140573092443,0.985685365732018,0.00665966091940233,5
"24","PidgeotMega Pidgeot",4.3476442679716e-19,6.61015800967142e-21,1.11175197135413e-11,0.0014964596890106,0.827911415935568,0.170592124364303,5
"25","Rattata",0.997544146997775,0.000178916077633874,2.26024734655478e-31,0.00227693466383844,3.37342109822628e-19,2.26075295697337e-09,1
"26","Raticate",0.000303027171236274,0.676418945501907,0.305296474867684,0.0132093085390355,0.000670359723535165,0.00410188419660224,2
"27","Spearow",0.997950159915975,4.80991109001455e-05,2.02602041743823e-19,0.00200173994809454,4.02315829458405e-18,1.02503066165721e-09,1
"28","Fearow",0.000215131590555919,0.0427911120476688,0.93769348111909,0.0065090400463904,0.0117065027053136,0.00108473249098145,3
"29","Ekans",0.131121595902767,0.865516667074858,1.49397137450222e-20,0.00336150702012713,9.50227549487844e-14,2.30002153221832e-07,2
"30","Arbok",3.50610404011484e-07,0.00046789156572245,0.983337045409876,0.00452245880817267,0.00939998838258393,0.00227226522324042,3
"31","Pikachu",0.0861886543781036,0.908137608754969,2.03276752086055e-20,0.00567276318095173,2.95146605959341e-14,9.73685946378274e-07,2
"32","Raichu",1.33230934974141e-10,1.5001094856489e-06,0.986141527220991,0.00203609788492202,0.000884130463954333,0.010936744187416,3
"33","Sandshrew",0.99775298385867,3.57420487787421e-08,3.13862887286394e-11,0.00224697422122849,1.50551862812125e-09,4.64114761962284e-09,1
"34","Sandslash",0.206241053832567,1.73481888993744e-12,0.000130643912871203,0.780914561452328,0.00714820043750219,0.0055655403629959,4
"35","Nidoran♀",0.780334814963888,0.217182725176138,1.45280239217829e-06,0.002480991669323,1.20502933315125e-10,1.52677552823467e-08,1
"36","Nidorina",0.0302557882474718,0.941685367773147,0.00718436810861882,0.0196849526642554,0.00116276326389962,2.67599426069442e-05,2
"37","Nidoqueen",1.05062915697988e-10,1.0816551543191e-11,5.91002846091028e-19,0.00780824891647044,0.981258210490764,0.0109335404768857,5
"38","Nidoran♂",0.916962157745815,0.0804396098851834,1.27948975371028e-11,0.00259822225701745,1.21095349398004e-13,1.00990681156604e-08,1
"39","Nidorino",0.00626991221441622,0.963231745878457,0.0279188748928157,0.00256664368490448,8.28208510806666e-06,4.54124429893819e-06,2
"40","Nidoking",1.53214555601579e-09,3.56581298118053e-09,7.15417276133943e-09,0.00511643959350261,0.988375326557162,0.00650822159720385,5
"41","Clefairy",0.0015839012813352,0.96849222741504,0.0116451636271554,0.0182588572925942,9.54627002488266e-07,1.88957568730303e-05,2
"42","Clefable",6.14895544576946e-13,2.62553679980322e-11,9.73812788242151e-26,0.0640826161438049,0.908042928784078,0.0278744550452471,5
"43","Vulpix",0.0108282273554459,0.975210258206937,1.37811654227474e-15,0.0139529506788843,1.97817131122814e-13,8.56375853383203e-06,2
"44","Ninetales",5.42427646480288e-14,6.24161019673429e-11,0.000223469348760162,0.00855709475659056,0.805463893635851,0.185755542196328,5
"45","Jigglypuff",0.0356455515104784,1.89832083308205e-11,1.04489310086413e-72,0.964354446932201,2.31821702740382e-18,1.53833740493637e-09,4
"46","Wigglytuff",4.94643713993508e-09,1.20939171126573e-12,3.49681258940915e-143,0.999998378091999,6.46567469787029e-13,1.61695970846014e-06,4
"47","Zubat",0.995683322646406,0.00248769739360295,8.57691352400205e-18,0.00182897562440695,4.91354202064055e-17,4.33558386797654e-09,1
"48","Golbat",1.8760628382968e-06,0.00157570282873598,0.00156684927301928,0.0196105433430947,0.962302573761384,0.0149424547309283,5
"49","Oddish",0.000646839319600597,0.97358233035857,4.57634714029674e-08,0.0257617862280419,7.00179290260083e-09,8.99132852333145e-06,2
"50","Gloom",3.93951391874537e-07,0.000298947741334601,0.9818467584558,0.0162804714563708,0.00131049613686919,0.00026293225823391,3
"51","Vileplume",4.29502516910072e-14,4.88075047525596e-15,4.83462060128443e-05,0.0390287827120441,0.93304291904603,0.0278799520358655,5
"52","Paras",0.053678874176033,0.944299878114792,2.09601881498241e-20,0.0020211774243429,3.14653168060642e-12,7.02816853632388e-08,2
"53","Parasect",2.80253296465271e-06,7.73853556013939e-06,0.972164118299082,0.0172162385139371,0.00972444935863522,0.000884652759821122,3
"54","Venonat",0.0385950252013644,0.9558877804324,0.00372193636936864,0.00179461194003852,2.32717680291165e-08,6.22785060089315e-07,2
"55","Venomoth",7.54562513872672e-08,0.00071067062604312,0.796791837204895,0.0745341918570352,0.0960609231088122,0.0319023017469635,3
"56","Diglett",0.946224013899837,0.000146406773321074,5.59091573211468e-68,0.0536294965479921,5.32365932141402e-26,8.2778849803646e-08,1
"57","Dugtrio",0.00022075083584132,0.978423645711207,3.7526244285979e-17,0.0163877954508226,4.52483188165584e-09,0.00496780347729687,2
"58","Meowth",0.956649708360615,0.036553284569631,1.41809623953088e-16,0.00679688262682323,9.2740368788188e-16,1.24442929418604e-07,1
"59","Persian",9.41405757461394e-06,0.102840986512,0.893385782720896,0.00172234171374536,0.00105513619171141,0.000986338804072254,3
"60","Psyduck",0.0148443278507139,0.981751092998787,8.39136312122491e-07,0.00340349796630515,2.76368933476137e-10,2.41771513165785e-07,2
"61","Golduck",3.09238974329996e-11,5.45460742846556e-10,4.28118983991361e-08,0.00552647141464573,0.985886690066805,0.00858679513026643,5
"62","Mankey",0.965040262733736,0.0267951337264248,1.47287161807044e-15,0.00816425267402311,8.01561302270712e-14,3.5086573412808e-07,1
"63","Primeape",5.41175823174183e-06,0.000870397178862242,0.98540211306911,0.00406365526837718,0.00643415782821393,0.00322426489720444,3
"64","Growlithe",0.0173519552033706,0.964625280340579,0.00147080892354601,0.0165490577886358,3.08038275250818e-08,2.86694004075676e-06,2
"65","Arcanine",1.95189322899572e-13,7.86186839852669e-15,3.9835571838848e-19,0.00341827022541984,0.96892196797414,0.0276597618002371,5
"66","Poliwag",0.845699963087216,0.1484204357677,2.2424091290041e-16,0.00587944023182011,2.4805486679037e-14,1.60913238310633e-07,1
"67","Poliwhirl",0.0359544054894579,0.925163319406934,0.0311169796844739,0.00749760450518359,0.000235042282133323,3.2648631817195e-05,2
"68","Poliwrath",6.35691415434067e-11,3.37617383827848e-14,5.09093763179281e-19,0.0285541444114294,0.925550031213152,0.0458958243118153,5
"69","Abra",1.2072109990651e-05,7.75734261191264e-11,3.43389504627965e-35,0.999968717064895,1.91447949378529e-24,1.92107475409541e-05,4
"70","Kadabra",7.96495858771157e-10,4.48030267496556e-10,7.40184452889413e-12,0.966867208512552,5.4065235087369e-13,0.0331327902349798,4
"71","Alakazam",6.87983145414381e-20,2.30092605223314e-18,0.00269821522343585,0.0201563376897347,1.57056798932429e-06,0.97714387651884,6
"72","AlakazamMega Alakazam",9.75195869350192e-33,3.43162313547309e-37,7.93677588807299e-07,3.54297577533264e-05,1.75643888989349e-06,0.999962020125768,6
"73","Machop",0.984333203416702,0.00772828364064421,6.52155045627455e-07,0.00793774246457713,7.74946686536276e-08,4.08283625268537e-08,1
"74","Machoke",0.0232715392045168,0.0108551444933786,2.58485043757845e-07,0.249679549443558,0.714285155018338,0.00190835335516543,5
"75","Machamp",1.15254044106644e-09,7.57832101006711e-13,9.27491268603523e-19,0.0604256792313512,0.846366540369262,0.0932077792460882,5
"76","Bellsprout",0.889802235733733,0.00386691848595833,2.68587167988534e-09,0.106330825593034,7.21188497748739e-13,1.75006821098713e-08,1
"77","Weepinbell",0.020191681550319,0.0472988722052624,0.164651813068736,0.76753868030565,0.000201005682448201,0.00011794718758401,4
"78","Victreebel",2.78311240202971e-09,1.08027502909424e-08,1.75239271684401e-07,0.0534673271554897,0.932964315835479,0.0135681681838972,5
"79","Tentacool",3.05020608293181e-08,1.1620444456316e-05,4.57569587593861e-13,0.952606448166458,1.10151257627968e-11,0.0473819008755518,4
